연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도,소비자물가,소비자물가상승률(%),식료품 비주류음료,주류 및 담배,의류 및 신발,주택수도 전기 및 연료,가정용품 및 가사서비스,보건,교통,통신,오락 및 문화,교육,음식 및 숙박,기타 상품 및 서비스
2013,8.0,8.7,8.8,9.9,9.3,7.4,7.3,6.7,0.0,7.3,7.1,6.8,8.6,6.4,7.0,10.6,5.8,5.7,93.0,1.3,0.9,1.7,2.9,3.5,0.3,0.4,-0.5,-0.1,1.0,1.2,1.6,0.5
2014,9.0,10.4,9.0,11.5,12.1,6.8,7.8,8.0,0.0,8.3,10.3,8.8,8.4,6.3,9.5,7.7,7.0,6.0,94.2,1.3,0.3,-0.1,4.0,2.9,2.1,0.7,-1.6,-0.1,0.4,1.5,1.5,3.1
2015,9.1,9.3,9.7,10.1,11.8,7.6,8.9,9.3,0.0,9.0,12.6,7.2,8.3,5.7,8.5,8.8,8.6,5.1,94.9,0.7,1.6,50.1,1.3,-0.6,2.6,1.3,-7.8,-0.2,-0.5,1.7,2.3,2.7
2016,9.8,10.3,9.9,12.0,11.5,9.8,8.2,11.1,0.0,9.8,10.1,6.4,8.9,9.4,10.5,10.3,8.4,5.4,95.8,1.0,2.3,0.7,1.8,-0.8,1.6,1.0,-2.2,0.1,1.8,1.6,2.5,3.4
2017,9.8,10.1,11.5,11.5,10.5,7.5,7.7,8.5,7.2,10.5,8.0,6.5,9.8,9.3,9.7,9.5,8.6,5.7,97.6,1.9,3.4,1.5,1.1,1.7,1.1,0.9,3.6,0.3,0.1,1.1,2.4,2.8
2018,9.5,10.1,9.5,12.2,9.2,8.6,10.5,9.8,5.9,9.0,5.2,7.0,9.0,10.0,10.0,12.0,9.6,5.1,99.1,1.5,2.8,0.3,1.1,0.7,2.3,-0.1,2.4,-0.9,0.5,1.4,3.0,0.6
2019,8.9,8.8,9.1,8.3,9.0,9.7,9.6,8.8,8.7,8.7,7.8,8.0,8.2,9.3,9.9,11.2,10.3,5.3,99.5,0.4,0.0,0.6,0.1,1.2,2.1,0.5,-1.8,-2.3,-0.2,0.5,1.8,1.6
2020,9.0,9.1,10.6,9.0,8.6,8.8,7.7,11.6,7.7,8.6,8.6,8.1,8.5,9.1,7.0,10.5,10.1,6.8,100.0,0.5,4.4,0.3,0.7,0.5,0.0,1.5,-1.8,-2.1,-1.0,-2.1,0.9,2.0
2021,7.8,9.0,7.7,7.1,7.9,7.7,6.9,8.0,3.9,7.6,8.1,6.0,4.9,5.9,6.9,8.0,8.5,7.8,102.5,2.5,5.9,0.4,0.6,1.6,1.9,-0.1,6.3,-0.9,0.4,0.9,2.7,2.0
2022,6.4,6.8,6.8,6.9,6.7,6.5,4.4,7.8,3.1,6.1,7.5,5.5,5.1,6.6,6.3,7.4,6.9,5.1,107.7,5.1,5.9,2.2,3.1,5.5,4.8,0.8,9.7,0.9,2.8,1.3,7.6,6.1
2023,5.9,5.1,8.1,6.3,6.5,5.6,6.0,9.7,6.4,4.7,5.2,5.4,7.9,9.0,7.8,7.6,6.2,4.0,111.6,3.6,5.5,1.0,6.7,5.0,5.4,1.6,-3.4,1.0,3.7,2.0,6.0,5.8
