시도별,경제활동별,2013실질,2014실질,2015실질,2016실질,2017실질,2018실질,2019실질,2020실질,2021실질,2022실질
서울특별시,지역내총생산(시장가격),354319250,359661759,370167867,380679274,389584629,403605888,414092568,417638547,431678812,438537013
서울특별시,순생산물세,27597763,28822390,30371942,31165014,32762686,34324997,33741615,37799356,40172381,36042528
서울특별시,총부가가치(기초가격),326731215,330836648,339795925,349514260,356808619,369255882,380377317,379770753,391384648,402745629
서울특별시,"농업, 임업 및 어업",531723,511029,391224,389413,395667,452836,432413,390334,440369,375763
서울특별시,광제조업,16933168,17053820,16672919,16067868,15373098,15102708,15219675,14181374,14933432,14370149
서울특별시,　광업,137677,11869,5313,4037,2944,7390,6665,9056,17182,22026
서울특별시,　제조업,16806641,17042559,16667606,16063831,15370138,15095113,15212795,14172140,14916563,14350020
서울특별시,　　음식료품 및 담배제조업,324781,338341,356819,374399,366542,366341,387726,408566,432692,450480
서울특별시,　　섬유 의복 및 가죽 제품 제조업,7660648,7673833,7135529,6300820,6198666,5759860,5225461,4531006,4761593,4741378
서울특별시,　　목재종이인쇄 및 복제업,1628716,1641867,1696133,1917834,1864394,1795352,2033352,1880256,1745032,1672166
서울특별시,　　석탄 및 석유 화학제품 제조업,702440,872588,846546,876220,825962,888789,1045357,1215356,1126080,935065
서울특별시,　　비금속광물 및 금속제품 제조업,927902,965368,934813,942641,899425,855692,857411,741461,755189,687005
서울특별시,　　전기 전자 및 정밀기기 제조업,3183670,3168711,3208155,3432436,3204587,3351248,3685702,3633871,4027557,4200726
서울특별시,　　기계 운송장비 및 기타 제품 제조업,2372119,2383605,2489611,2219481,1989268,2050408,1978005,1859549,2190005,1805676
서울특별시,"전기, 가스, 증기 및 공기 조절 공급업",2273071,1728204,1704435,1838816,1912500,1994744,2315887,2790705,2887553,2694833
서울특별시,건설업,9699990,10205427,10478842,11310791,11807884,12142426,11873481,11757747,10758261,10109425
서울특별시,서비스업,297483905,301368097,310548505,319907372,327361401,339625359,350750750,351112823,363024617,375820377
서울특별시,　도매 및 소매업,53532118,53956505,56108543,57623999,58491556,59678918,62346453,62066529,62276057,65444308
서울특별시,　운수 및 창고업,10431519,10716050,10899450,10280492,10171331,10567762,10512757,8762723,9896426,10627073
서울특별시,　숙박 및 음식점업,9871263,9990341,10154452,10594777,10414503,10722003,11310928,8596609,8577385,10481055
서울특별시,　정보통신업,42830544,42550417,42129757,44549756,46541983,48522480,50397481,51729807,54583710,57707359
서울특별시,　금융 및 보험업,34581473,36478003,40562105,41363642,43010907,45858172,48771831,55538322,60068929,60880861
서울특별시,　부동산업,36993375,38050461,38883493,40447637,42103177,44051898,43831247,44472498,44239308,43102037
서울특별시,　사업서비스업,51331256,51299820,52838017,54090064,55722970,57733583,58823886,58211492,59009955,59157631
서울특별시,"　공공 행정, 국방 및 사회보장 행정",15793731,15253700,14861665,15060163,14678787,14767970,14712135,14541889,14802383,15072562
서울특별시,　교육 서비스업,17609585,17251956,17505800,18083766,18139494,18211759,18588378,17915943,18626104,19813622
서울특별시,　보건업 및 사회복지 서비스업,13097040,14076761,15166381,16118221,16612416,17922773,19679859,19763897,21092132,22346098
서울특별시,　문화 및 기타서비스업,11750314,11967470,11438842,11694855,11531462,11676982,11863086,10126944,10631863,11911333
경기도,지역내총생산(시장가격),346430719,362159526,381978306,399827962,426172886,451914662,462288338,470022670,498358681,516358207
경기도,순생산물세,24692692,25857243,28114264,30138836,32060863,33397081,33760880,33140912,34271149,34321283
경기도,총부가가치(기초가격),321737621,336301161,353864042,369689126,394112851,418521514,428540950,436951743,464215228,482296557
경기도,"농업, 임업 및 어업",3270723,3617743,3521439,3197657,3140614,3198202,3318432,3100006,3210592,3120479
경기도,광제조업,114856430,119771979,128525485,134823544,148593550,161419863,164584087,171747507,187372522,190942664
경기도,　광업,274575,314791,274840,331231,337375,380050,341055,296562,329153,347821
경기도,　제조업,114584713,119463011,128250645,134492313,148256806,161040454,164243433,171457096,187049856,190601268
경기도,　　음식료품 및 담배제조업,4429445,4342349,4637385,4585512,4876292,5132648,5377390,5548367,5663005,5671990
경기도,　　섬유 의복 및 가죽 제품 제조업,3671209,3827939,3649521,3099309,3137563,3099113,2842252,2937350,2852780,2708365
경기도,　　목재종이인쇄 및 복제업,4229401,4472719,4539656,4956785,4910269,5139076,5031546,5156638,5156602,4871411
경기도,　　석탄 및 석유 화학제품 제조업,14647993,15608272,17153343,17562735,18030109,18561391,18538182,19008518,19933925,18541236
경기도,　　비금속광물 및 금속제품 제조업,13945871,15296319,16118371,16802418,17781251,17470865,16793171,16163525,16471869,15595486
경기도,　　전기 전자 및 정밀기기 제조업,50668127,52446063,56896849,62679685,70670680,82342512,87337819,94099558,107226109,112984723
경기도,　　기계 운송장비 및 기타 제품 제조업,23021732,23453727,25255520,24805869,28917181,28633789,27330312,27911997,29878331,31284488
경기도,"전기, 가스, 증기 및 공기 조절 공급업",5763134,4224674,4765314,4747196,5381383,5531923,6070008,6994242,7400323,7575267
경기도,건설업,16238635,17856379,19835514,23664175,27105751,27485211,27016066,25566136,25800603,27621003
경기도,서비스업,181983968,190782587,197216290,203256554,209925441,220799798,227677158,230524783,242157561,254196303
경기도,　도매 및 소매업,22407194,22699328,23734553,24643295,25816027,26784236,27305452,28137037,28746070,29489157
경기도,　운수 및 창고업,10012415,9968377,10199832,10604602,10979414,11468419,11445464,10314079,10924593,11863286
경기도,　숙박 및 음식점업,7197261,7321469,7532536,7897290,7999415,8450195,8734605,7625458,7571553,8888895
경기도,　정보통신업,13155317,14497356,15429379,15756911,16036307,16767769,17511717,18865134,19698829,19639298
경기도,　금융 및 보험업,12286216,13114890,13749585,14143771,14824593,15666695,15843002,17043494,18189559,19341625
경기도,　부동산업,28071248,29315364,29713638,30968440,31570069,32885232,33796894,35788052,36937794,37736247
경기도,　사업서비스업,33968544,37420210,39713614,40210839,41304078,44411474,45505003,45684295,48892374,51818919
경기도,"　공공 행정, 국방 및 사회보장 행정",16047416,16355805,16295469,16611073,17370609,18196111,18802927,19621151,20637596,21238616
경기도,　교육 서비스업,16252166,16564202,16994149,17226277,17677014,18160226,18556361,18452119,19418304,20192365
경기도,　보건업 및 사회복지 서비스업,11413768,12304823,12847188,13896547,15372537,16677497,18577532,18811273,20375731,22241711
경기도,　문화 및 기타서비스업,11294868,11269757,11006347,11297509,10998757,11321029,11580099,10439321,10937287,11821423
경상남도,지역내총생산(시장가격),104475348,104843574,106590936,107343355,106561346,107224316,109370902,103425415,105384664,110265302
경상남도,순생산물세,7735796,7973794,8077175,8062935,7847851,7514624,7845884,7607391,7584573,8602270
경상남도,총부가가치(기초가격),96745505,96869584,98513761,99280420,98715612,99726659,101532251,95817774,97805741,101603336
경상남도,"농업, 임업 및 어업",3380943,3611131,3569027,3424494,3555810,3848917,4035270,3697430,3651030,3750562
경상남도,광제조업,41983652,41292059,40870463,40832075,39169578,39490070,40153800,36736388,37226020,38289623
경상남도,　광업,95123,103767,108370,111427,115143,90794,76940,81208,92288,79212
경상남도,　제조업,41887172,41187801,40762093,40720648,39054257,39400932,40079271,36657100,37136296,38211999
경상남도,　　음식료품 및 담배제조업,2057479,2088426,2145712,2082668,2100663,2105155,2166805,2087324,2172835,2257288
경상남도,　　섬유 의복 및 가죽 제품 제조업,549265,569891,546969,484839,489318,464549,413832,415315,402877,381784
경상남도,　　목재종이인쇄 및 복제업,875736,843129,821149,824598,823479,829747,787705,741969,796687,775251
경상남도,　　석탄 및 석유 화학제품 제조업,3410824,3485272,3810844,3796478,3735977,3673864,3634040,3257368,3310716,3194400
경상남도,　　비금속광물 및 금속제품 제조업,9192211,9099676,9862849,9651250,9146585,8969655,8952886,8433111,7996207,8413806
경상남도,　　전기 전자 및 정밀기기 제조업,4651220,4527649,5246459,5207293,5708490,6151212,5839922,6196533,6777548,6411173
경상남도,　　기계 운송장비 및 기타 제품 제조업,21278553,20699427,18328111,18673522,17029211,17180505,18268832,15539443,15719741,16815026
경상남도,"전기, 가스, 증기 및 공기 조절 공급업",3156568,2902433,2986099,3051389,3247629,3224179,3404645,2901739,3322616,4069716
경상남도,건설업,5339584,5038166,5708458,5978586,6310432,5863635,5075589,4574795,4211122,4279179
경상남도,서비스업,42980432,44030532,45379714,45993876,46417015,47282082,48946938,47818634,49463302,51601924
경상남도,　도매 및 소매업,4518246,4540695,4669975,4685416,4814306,4855955,4915899,4690709,4716740,4896489
경상남도,　운수 및 창고업,2747084,2762872,2812226,2799945,2754344,2747652,2847860,2584242,2873134,2867072
