"시도별","연령계층별",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"계","계",3.1,3.5,3.6,3.7,3.7,3.8,3.8,4.0,3.7,2.9,2.7
"계","15 - 29세",8.0,9.0,9.1,9.8,9.8,9.5,8.9,9.0,7.8,6.4,5.9
"계","30 - 59세",2.3,2.5,2.6,2.5,2.5,2.8,2.7,3.0,2.7,2.1,2.0
"계","60세이상",1.8,2.3,2.5,2.7,2.9,3.1,3.4,3.6,3.8,2.8,2.6
"서울특별시","계",3.9,4.4,4.2,4.2,4.5,4.8,4.4,4.6,4.8,3.4,2.7
"서울특별시","15 - 29세",8.7,10.4,9.3,10.3,10.1,10.1,8.8,9.1,9.0,6.8,5.1
"서울특별시","30 - 59세",3.0,3.2,3.1,2.9,3.3,3.5,3.2,3.3,3.6,2.4,2.1
"서울특별시","60세이상",2.5,2.8,3.2,2.8,3.6,4.0,4.3,4.7,5.1,3.6,2.6
"부산광역시","계",3.8,3.8,4.1,3.9,4.6,4.1,3.7,4.2,3.4,3.0,3.1
"부산광역시","15 - 29세",8.8,9.0,9.7,9.9,11.5,9.5,9.1,10.6,7.7,6.8,8.1
"부산광역시","30 - 59세",3.0,3.0,3.1,2.8,3.2,3.2,2.4,2.9,2.4,2.2,2.2
"부산광역시","60세이상",2.6,2.4,2.6,2.8,3.6,2.9,3.9,3.7,3.3,2.8,2.5
"대구광역시","계",3.3,3.8,3.5,4.1,4.0,4.4,3.7,3.9,3.7,2.9,3.1
"대구광역시","15 - 29세",9.9,11.5,10.1,12.0,11.5,12.2,8.3,9.0,7.1,6.9,6.3
"대구광역시","30 - 59세",2.1,2.5,2.2,2.5,2.7,2.9,2.9,3.0,2.8,2.1,2.1
"대구광역시","60세이상",2.2,2.1,2.5,3.8,3.4,3.7,3.1,3.2,4.6,2.9,3.8
"인천광역시","계",4.1,4.7,5.0,4.9,4.6,4.3,4.4,4.6,4.0,3.3,3.2
"인천광역시","15 - 29세",9.3,12.1,11.8,11.5,10.5,9.2,9.0,8.6,7.9,6.7,6.5
"인천광역시","30 - 59세",3.2,3.1,3.5,3.1,3.2,2.9,3.1,3.5,2.8,2.4,2.5
"인천광역시","60세이상",3.1,3.9,5.2,6.2,4.8,5.3,5.0,5.2,5.2,3.9,2.8
"광주광역시","계",2.8,2.8,2.9,3.1,2.9,3.8,3.7,3.9,3.6,2.9,2.5
"광주광역시","15 - 29세",7.4,6.8,7.6,9.8,7.5,8.6,9.7,8.8,7.7,6.5,5.6
"광주광역시","30 - 59세",1.9,1.9,2.1,1.7,2.0,2.8,2.5,2.8,2.5,2.1,1.7
"광주광역시","60세이상",2.6,3.2,1.9,2.9,2.2,3.0,2.9,3.3,4.2,3.0,3.4
"대전광역시","계",3.0,3.4,3.4,3.2,3.4,4.2,4.2,4.4,3.3,2.4,2.8
"대전광역시","15 - 29세",7.3,7.8,8.9,8.2,7.7,10.5,9.6,7.7,6.9,4.4,6.0
"대전광역시","30 - 59세",2.1,2.2,2.2,2.1,2.3,2.9,2.9,3.5,2.2,1.7,1.9
"대전광역시","60세이상",2.6,4.0,2.8,2.4,3.5,3.3,4.2,4.3,3.6,2.9,3.3
"울산광역시","계",2.1,2.7,2.9,3.8,3.5,4.6,4.2,4.2,3.6,3.2,3.4
"울산광역시","15 - 29세",6.7,8.0,9.3,11.1,8.5,9.8,8.8,11.6,8.0,7.8,9.7
"울산광역시","30 - 59세",1.3,1.7,1.5,2.3,2.4,3.3,3.1,2.8,2.4,2.2,2.0
"울산광역시","60세이상",1.5,2.6,3.2,3.3,3.6,5.9,5.4,4.5,5.3,4.0,4.5
"세종특별자치시","계",-,-,-,-,2.3,2.3,2.7,2.8,2.1,2.0,2.0
"세종특별자치시","15 - 29세",-,-,-,-,7.2,5.9,8.7,7.7,3.9,3.1,6.4
"세종특별자치시","30 - 59세",-,-,-,-,1.4,1.6,1.7,1.8,1.7,1.7,1.4
"세종특별자치시","60세이상",-,-,-,-,1.3,2.5,2.7,3.4,2.6,2.6,1.9
"경기도","계",3.0,3.3,3.9,3.9,3.9,3.8,3.8,4.0,3.7,2.7,2.6
"경기도","15 - 29세",7.3,8.3,9.0,9.8,10.5,9.0,8.7,8.6,7.6,6.1,4.7
"경기도","30 - 59세",2.1,2.4,2.9,2.6,2.4,2.7,2.7,3.0,2.6,2.0,2.2
"경기도","60세이상",1.9,2.4,3.1,3.3,3.7,3.4,3.9,3.7,4.4,2.6,2.5
"강원도","계",2.3,3.1,3.2,2.8,2.6,2.9,3.6,3.9,3.6,3.2,2.8
"강원도","15 - 29세",7.1,10.3,12.6,10.1,8.0,5.2,7.8,8.6,8.1,7.5,5.2
"강원도","30 - 59세",1.5,2.0,1.6,1.6,1.6,2.0,2.1,2.5,2.3,1.9,1.8
"강원도","60세이상",2.2,2.0,2.5,1.9,2.1,4.0,4.9,5.0,4.5,4.1,3.7
"충청북도","계",2.0,3.0,2.6,2.6,2.2,2.4,3.1,3.2,2.5,2.5,2.3
"충청북도","15 - 29세",6.8,8.8,7.2,6.4,6.5,7.0,8.0,8.1,6.0,5.5,5.4
"충청북도","30 - 59세",1.2,1.8,1.7,1.9,1.4,1.6,2.1,2.0,1.5,1.8,1.4
"충청북도","60세이상",1.3,2.1,2.3,1.8,1.7,1.6,2.5,3.3,2.8,2.3,2.6
"충청남도","계",2.8,3.3,3.5,3.2,2.8,3.1,2.9,3.5,2.3,2.3,2.6
"충청남도","15 - 29세",8.6,8.4,8.3,8.9,9.8,9.0,8.2,8.5,4.9,5.1,7.9
"충청남도","30 - 59세",1.7,2.4,2.6,2.0,1.7,1.9,2.1,2.7,2.0,1.8,1.7
"충청남도","60세이상",1.6,2.1,2.2,2.3,1.4,2.2,1.3,2.4,1.5,2.0,1.9
"전라북도","계",2.0,2.5,1.7,2.1,2.5,2.7,2.7,2.5,2.2,2.4,2.5
"전라북도","15 - 29세",6.4,6.3,5.7,9.4,9.3,10.0,9.3,9.1,5.9,6.6,9.0
"전라북도","30 - 59세",1.4,2.0,1.0,1.1,1.8,2.0,2.1,1.8,1.5,1.7,1.5
"전라북도","60세이상",1.0,1.4,1.4,0.7,0.8,0.9,1.0,1.3,2.2,2.1,1.9
"전라남도","계",2.1,2.9,2.5,3.0,3.2,2.8,2.6,2.4,2.3,2.2,2.2
"전라남도","15 - 29세",7.0,9.5,8.5,10.5,9.7,10.0,9.9,7.0,6.9,6.3,7.8
"전라남도","30 - 59세",1.7,2.2,1.8,2.0,2.5,2.1,1.7,1.6,1.5,1.7,1.4
"전라남도","60세이상",1.0,1.7,1.7,2.2,2.2,1.4,1.6,2.2,2.5,1.9,1.9
"경상북도","계",3.1,2.9,3.0,3.2,2.8,4.1,3.9,4.0,3.2,2.5,2.6
"경상북도","15 - 29세",10.6,7.7,8.8,10.3,9.5,12.0,11.2,10.5,8.0,7.4,7.6
"경상북도","30 - 59세",2.1,2.3,2.3,2.2,1.8,3.1,2.7,3.2,2.6,1.6,2.1
"경상북도","60세이상",1.4,1.5,1.5,1.5,1.7,3.0,3.3,3.3,2.5,2.2,1.9
"경상남도","계",2.1,2.5,2.6,3.3,2.9,3.0,3.8,4.0,4.1,3.3,2.5
"경상남도","15 - 29세",5.8,7.0,8.6,8.4,8.6,9.6,10.3,10.1,8.5,6.9,6.2
"경상남도","30 - 59세",1.7,1.9,1.9,2.7,2.1,2.1,2.9,3.4,3.6,2.8,1.9
"경상남도","60세이상",0.9,1.4,1.2,1.6,2.1,2.0,2.8,2.8,3.2,3.0,2.5
"제주도","계",1.8,2.0,1.9,2.2,1.9,2.0,2.1,2.5,3.1,2.1,1.9
"제주도","15 - 29세",5.7,6.0,5.1,5.4,5.7,5.1,5.3,6.8,7.8,5.1,4.0
"제주도","30 - 59세",1.4,1.5,1.2,1.6,1.2,1.2,1.5,1.7,2.2,1.6,1.5
"제주도","60세이상",0.4,0.9,2.1,1.7,1.7,2.2,2.1,2.2,3.2,1.9,1.8
